La stratégie du retour de l'Europe	欧洲的重振战略
STOCKHOLM/MADRID – Lorsque le pape François Ier s'est adressé au Parlement Européen en novembre dernier, il a comparé l'Union européenne à une grand-mère : agréable et pleine d'expérience, mais dénuée de la vitalité et de l'énergie qu'elle a pu montrer jadis.	斯托克霍姆/马德里—去年11月，教皇方济各在其欧洲议会演讲中将欧盟比作祖母 — — 和蔼而富于经验，但已不再有过去的活力和能量。
Le pape a soutenu qu'il était grand temps que les dirigeants européens se défassent de leur manque de dynamisme, qu'ils reconnaissent les défis stratégiques auxquels l'Europe est confrontée et qu'ils conçoivent des mesures claires pour y faire face.	方济各说，现在是一个关键时刻，欧盟领导人必须摆脱懈怠形象，承认欧洲所面临的战略挑战，并构建应对挑战的明确政策。
Malheureusement le portrait dressé par le pape est juste à certains égards.	诚然，教皇的描述在某些角度讲非常准确。
Mais malgré sa lassitude apparente, l'Europe conserve des atouts importants.	但是，尽管欧洲看起来疲态尽露，但仍拥有巨大优势。
Elle est une plaque tournante de haut niveau pour la réflexion et l'innovation. Elle abrite certaines des régions et des industries les plus compétitives du monde et (fait peut-être encore plus impressionnant), elle représente une communauté et un marché regroupant un demi-milliard de personnes.	欧洲是高水平思想和创新的枢纽；是世界最有竞争力地区和产业的所在地；最重要的是，它还构建了一个由五亿人组成的社会和市场。
Mais le monde est en train de changer : la région Asie-Pacifique a de plus en plus d'influence dans les événements mondiaux, économiques et autres.	但世界正在变化：亚太地区正在日益影响全球经济和其他发展趋势。
L'Accord de Partenariat Trans-Pacifique, par lequel les États-Unis et 11 autres pays doivent créer une zone de libre-échange méga-régionale, va très probablement accélérer ce changement (ce qui va encore se confirmer si la Chine finit par les rejoindre).	跨太平洋合作伙伴关系（Trans-Pacific Partnership，TPP，由美国和其他11国建立的巨型地区自由贸易区）很有可能加速这一变革（如果中国最终也能加入就更加如此了 ） 。
Bien que le Partenariat Trans-Pacifique (PTP) contienne de nombreux obstacles à surmonter avant qu'un accord ne soit finalisé, il ne faut pas sous-estimer sa capacité à augmenter la puissance économique de l'Asie.	尽管TPP距离最终完成协议还有很多障碍需要跨越，但其扩大亚洲经济实力的潜力绝不容���觑。
L'Europe doit s'employer à renforcer sa position dans le nouvel ordre mondial, en commençant par relancer ses propres relations commerciales et ses investissements avec les États-Unis.	欧洲必须致力于确保其在新世界秩序中的地位 — — 首先要强化其自身与美国的贸易和投资联系。
Le problème est que malgré l'avancée des négociations du PTP, les pourparlers du Partenariat transatlantique de commerce et d'investissement (PTCI) entre l'UE et les États-Unis sont si profondément embourbés dans des controverses internes que l'ensemble du projet risque d'être sabordé.	在TPP谈判不断推进的同时，欧盟-美国跨大西洋贸易和投资伙伴关系（Transatlantic Trade and Investment Partnership，TTIP）谈判却深陷国内矛盾的掣肘，整个工程都有可能夭折。
Les chefs d'entreprises des deux côtés de l'Atlantique sont convaincus qu'un accord PTCI réussi apporterait des avantages économiques substantiels : une opinion étayée par de nombreuses études.	大西洋两岸的商业领袖相信，成功的TTIP协议将带来巨大的经济收益 — — 许多研究都强化了这一感觉。
Pourtant des questions triviales (par exemple, l'utilisation de poulet traité au chlore et le règlement de différends avec les investisseurs) continuent de dominer le débat.	但一些微妙的问题 — — 比如“氯化鸡 ” （ 欧洲怀疑美国鸡肉进入市场前都用氯消毒）和投资者纠纷和解等问题 — — 仍主导着争论。
L'objectif du PTCI est d'exploiter la puissance de l'économie transatlantique, qui reste de loin le plus grand et le plus riche marché du monde, représentant les trois-quarts de l'activité financière mondiale et plus de la moitié du commerce mondial.	TTIP的目标是释放跨大西洋经济的力量 — — 目前大西洋两岸仍是世界最大最富有的市场，占全球金融活动的四分之三和世界贸易量的一大半。
(Si le PTCI était ouvert à d'autres économies, comme la Turquie, le Mexique et le Canada, les avantages seraient encore plus grands.)	（如果TTIP向其他经济体开放 — — 比如土耳其、墨西哥和加拿大 — — 则收益还将更大。 ）
Il existe toutefois un argument encore plus convaincant que les avantages de parvenir à un accord : les conséquences potentiellement catastrophiques d'un échec.	但是，比达成协议的好处更加让人感到必须成功的是谈判失败可能带来的灾难性结果。
Pour commencer, une rupture des pourparlers du PTCI fournirait des arguments considérables aux membres du Royaume-Uni qui prônent le retrait de l'UE. Inversement, si le PTCI était mis en œuvre, il serait malavisé (et donc peu probable) que le Royaume-Uni sorte de l'UE.	首先，TTIP谈判的破裂将极大地加强英国鼓吹离开欧盟阵营的力量；反之，如果TTIP获得实施，英国离开欧盟将是不明智之举，因此也不会发生。
Par ailleurs, le sentiment que des querelles internes à l'UE ont conduit à gâcher une opportunité stratégique risquerait probablement de conduire les États-Unis à accélérer leur désengagement en faveur du continent.	此外，欧洲的内讧导致其白白浪费了一个战略机会，这一感觉可能促使美国加速远离欧洲。
Et le président russe Vladimir Poutine pourrait toujours considérer l'échec de l'Union européenne comme une opportunité majeure d'exercer plus d'influence sur certaines régions de l'Europe.	而俄罗斯总统普京也必然会将欧洲的失败视为影响欧洲更多地区的良机。
Tout cela contribue à un risque stratégique hautement fondamental : si le PTCI s'arrête ou s'effondre, tandis que le PTP va de l'avant et réussit, alors l'équilibre mondial va pencher fortement en faveur de l'Asie et l'Europe aura peu d'options, le cas échéant, pour retrouver une influence économique et géopolitique.	所有这些凸显出一个根本新战略风险：如果TTIP无法取得进展或失败，而TPP取得进展并成功，则全球平衡将朝着极有利于亚洲的方向发展 — — 欧洲极有可能无法重振其经济和地缘政治影响力。
Lorsque le PTCI a tout d'abord été proposé, l'Europe semblait reconnaître sa valeur.	TTIP首次提出时，欧洲似乎能够认识到其价值。
En effet, c'est l'UE qui a poussé les États-Unis, qui doutaient alors de l'engagement de l'Europe, à lancer le processus de négociations en juin 2013.	事实上，是欧洲推动一开始对欧洲的承诺有所怀疑的美国在2013年6月启动了谈判程序。
L'ambition était d'achever les négociations en un seul et même mouvement.	当时人们雄心万丈，意图“一鼓作气”完成谈判。
Personne ne voulait devoir supporter des pourparlers prolongés, ni les lourdeurs politiques qui en découlent.	没人想让谈判长久拖延 — — 或忍受因此带来的政治痛苦。
Mais les dirigeants de l'UE ont abandonné le fond du projet, confirmant ainsi en apparence les craintes américaines.	但欧盟领导人在事实上抛弃了这一工程，而这也印证了美国的担心。
Les négociateurs commerciaux ont eu du mal à progresser, tandis que les groupes anti-mondialisation ont pris le contrôle du discours public, en présentant le PTCI comme une menace pour tous les organes de l'Europe, depuis la démocratie jusqu'à ses services de santé.	贸易谈判在挣扎中前行，而反全球化组织掌握了公共观点的控制权，将TTIP描述为对一切事物的威胁 — — 从欧洲的民主到欧洲的健康莫不如此。
Cet exposé est dangereusement inexact et les dirigeants de l'UE doivent l'empêcher de gagner plus de terrain en en faisant un argument stratégique pour l'accord.	这是非常危险的错误言论，欧盟领导人必须拿出推进TTIP的战略性理由，从而阻止这一言论获得更大的市场。
Et ils doivent ranimer leur engagement à conclure les négociations avec succès en 2015.	他们还必须重振2015年成功完成谈判的承诺。
Cela ne veut pas dire que la résolution des questions en suspens dans les négociations du PTCI sera simple.	这并不是说解决TTIP谈判中仍然存在的问题轻而易举。
Mais établir un accord commercial, en particulier celui qui implique tant de questions réglementaires est toujours difficile, car il faut tenir compte de la complexité et de la variabilité des économies modernes.	但签订贸易协议，特别是包含如此多监管问题的贸易协议，永远不是件容易事，因为它必须考虑到现代经济的复杂性和易变性。
Le fait est que les défis inhérents à l'achèvement du PTCI ne sont pas plus difficiles à résoudre que ceux auxquels les dirigeants européens ont dû faire face au cours des dernières années de crise.	事实上，完成TTIP所包含的挑战并不比欧盟领导人在过去几年的危机中所遇到的挑战更棘手。
Quand vont reprendre les négociations du PTCI le mois prochain, les dirigeants européens devront faire pression pour entraîner un véritable progrès, avec l'objectif de parvenir à un accord d'ici la fin de l'année.	TTIP谈判将在下个月重启，届时欧盟领导人必须推动真正的进展，并以在年底完成协议为目标。
La bonne nouvelle, c'est que les récentes élections de mi-mandat aux États-Unis pourraient bien augmenter leurs chances.	好消息是最近的美国中期选举有可能增加他们成功的机会。
Le président Barack Obama pourrait obtenir à présent du Congrès le « pouvoir de négociation accélérée ».	现在，美国总统奥巴马可能将从国会获得所谓的快速谈判授权。
Si cela devait effectivement se produire, le Congrès pourrait tout simplement approuver ou rejeter tout accord négocié, plutôt que devoir le passer en revue.	果真如此的话，美国国会将对谈成的协议予以批准或否决，而不能束之高阁。
La période des élections présidentielles américaines commence et d'autres problèmes de cette nouvelle année pourraient facilement revenir en tête de l'ordre du jour de l'UE.	美国总统竞选季即将来开帷幕，在新的一年里，其他问题可能轻而易举地取代欧盟日程。
C'est pourquoi les dirigeants européens n'ont pas de temps à perdre.	正因如此，欧洲领导人已无时间可以浪费。
Ils doivent saisir les opportunités économiques et éviter un désastre stratégique.	他们必须抓住经济机会 — — 并避免战略灾难。
	
Les révolutionnaires réticents de Lybie	利比亚之被迫进行革命者
TRIPOLI – L'Egypte n'est pas le seul endroit où les grandes espérances du Printemps arabe s’évanouissent peu à peu.	的黎波里 — — “阿拉伯之春”光明的希望正逐渐消退，其地区不仅仅是在埃及。
Attaques contre les gouvernements occidentaux, affrontements ethniques dans de lointaines oasis au milieu du désert… la révolution de la Libye est elle aussi chancelante.	从对西方政府的抗争到遥远的沙漠绿洲里的种族冲突，利比亚革命的势头正在逐渐衰弱。
Le gouvernement intérimaire, qui a dirigé le soulèvement, est en grande partie responsable pour troubles actuels de la Libye.	目前利比亚困境重重，这在很大程度上归咎于临时政府领导的起义。
Le Conseil National de Transition refuse de prendre des décisions difficiles, préférant les refiler à un futur gouvernement élu.	全国过渡委员会（NTC）很难作出抉择，只是假装要成立一个民选政府。
Le CNT a conservé une grande partie de la paralysie institutionnelle du pays, ainsi que du comportement primaire typique du régime renversé du colonel Muammar al-Kadhafi.	被推翻的穆阿迈尔·卡扎菲上校所领导的政府的典型特征是机构内部瘫痪以及依赖下意识行事，而NTC依然保留了很多诸如此类的问题。
Si la révolution libyenne veut réussir, les nouveaux dirigeants du pays devront rompre nettement avec l'esprit du passé.	利比亚革命若想取得成功，新一代国家领导人就必须要彻底打破过去的思想。
Au cours de ses 42 années au pouvoir, Kadhafi s’est entouré de conseillers qui étaient des compagnons de jeunesse, complétés par une petite clique de technocrates.	在执政的42年间，卡扎菲身边的顾问一直是自己年轻时的玩伴，然后就是一些技术专家。
En conséquence, les chefs de la révolte qui l’a renversé ont peu d'expérience de gouvernement.	结果，推翻其政府的领导人所具备的政府经验微乎其微。
Et, dans un pays où toute activité politique était considérée comme une trahison, beaucoup s'attendaient à ce que le CNT néophyte tombe souvent et peu après son entrée en fonction.	此外，在一个将任何政治活动均视为叛逆行为的国家，很多人预测刚成立的NTC从开始就会遭受重重困难。
Ils ne se sont pas trompés.	而事实上也的确如此。
En effet, la révolution n'a jamais été sans heurts.	事实上，革命从来都不是一帆风顺的。
Lorsque les combattants ne sont pas parvenus à vaincre les forces loyalistes par eux-mêmes, les puissances extérieures ont été obligées d'intervenir.	当革命人士未能击败政府军时，外部力量就会被迫介入。
Plus tard, le CNT s’est retrouvé incapable d'imposer une discipline aux myriades de milices qui se sont formées pour combattre les troupes de Kadhafi, ni même de diriger efficacement les armes étrangères vers l'armée nationale libyenne naissante.	大量民兵都参与进来同卡扎菲军队进行作战。 之后，NTC无法向这些民兵施加纪律，甚至无法将外国武器有效地运用于刚刚成立的利比亚国家军队。
Lorsque le chef d'état-major a été assassiné en juillet dans des circonstances mystérieuses, le CNT n’a pas pu offrir de réponses concrètes à un public en colère.	7月份，军事参谋长被秘密暗杀，而NTC却无法给愤怒的公众提供任何确凿的解释。
N'ayant pas accès aux avoirs libyens gelés à l'étranger, il a souvent payé les salaires avec des semaines de retard.	因无法动用利比亚的任何国外冻结资产，它经常将工资拖欠几周之久。
Tant que la lutte contre Kadhafi faisait rage, les Libyens considéraient comme antipatriotique de souligner les faiblesses du CNT.	虽然对抗卡扎菲的斗争依然十分激烈，但是利比亚人认为，指出NTC的弱点是不爱国的行为。
Aujourd'hui, cependant, ces défauts ont été amplifiés par sa paralysie.	然而，在今天，政府机构的瘫痪状态放大了这些缺陷。
Le CNT délibère au lieu de décider.	这是NTC反复审议的结果，并非一项简单的决策。
La majorité des deux-tiers requise pour adopter une loi signifie que les projets de loi meurent après de longs débats.	按照规定，立法需要有三分之二的人数通过，这意味着很多法案在经过广泛的辩论后最终会消亡。
De nombreux membres du CNT pensent que le Conseil n'a pas la légitimité nécessaire pour prendre des décisions difficiles.	NTC的很多委员都认为，安理会缺乏合理性，因而对于一些比较艰难的决定它无法做出抉择。
Ils soutiennent que le CNT devrait se limiter à assurer un gouvernement intérimaire, ne mettant en œuvre que les décisions les plus essentielles, jusqu’à ce que des responsables élus entrent en fonction.	他们认为，NTC只是一个代理政府，仅负责实施那些最重要的决议，直至民选官员上任。
En conséquence, le CNT et le cabinet qu'il a nommé, appelé comité exécutif, cherchent simplement passer le relais de l'autorité.	因此，NTC和其任命的内阁（即执行委员会 ） ， 只是想尽快移交权利。
Hésitant à laisser une empreinte importante dans leur sillage, certains ministères ne disposent d’aucun budget et les ministres sont réticents à signer des accords avec des entreprises étrangères.	一些部门不愿留下大量的遗留问题，因此他们没有预算，而且各部长也不愿同外国公司签署协议。
Mais, au-delà de la question du rôle approprié des gouvernements dépositaires, il y a l'indécision des dirigeants du CNT, qui préfèrent tout simplement s'en remettre à d'autres.	然而，除了代理政府应当充当怎样的角色这个问题以外，另一个问题是NTC领导人的优柔寡断，他们总是倾向于听从他人。
Quand un colonel a récemment demandé au président du CNT Mustafa Abdel-Jalil pourquoi il n'a pas cherché à fusionner les milices dans l'armée nationale, Abdel-Jalil a répondu, "je ne dirige que la branche législative.	最近一名上校问NTC主席穆斯塔法·阿卜杜勒-加里尔为什么不将广大民兵合并成一支国家军队，阿卜杜勒-加里尔答道 ： “ 我可以负责立法部门。
Vous devez parler à l'exécutif (le comité). "	而你必须要同执行（委员会）进行商讨 。 ”
D'autres hauts responsables libyens souffrent de la même incapacité de gestion.	利比亚的其他高级官员也面临同样的管理问题。
Le premier ministre du CNT, Mahmoud Jibril, a été salué par la communauté internationale pour sa vision.	NTC的第一任总理马哈茂德·贾布里勒因其远见卓识而受到国际社会的高度赞扬。
Mais, tout comme Abdel-Jalil, Jibril s'est montré incapable de prendre des décisions.	但是，他同阿卜杜勒-加里尔十分相似，事实证明，他也没有决策能力。
La paralysie du CNT est clairement reflétée dans le procès du fils de Kadhafi, Saif al-Islam el-Kadhafi.	NTC的无能在对卡扎菲的儿子赛义夫·伊斯兰·卡扎菲的审判上反映地尤其明显。
Bien que considéré comme le captif le plus précieux de l'Ancien Régime, le Conseil n’a fait que peu de progrès dans les poursuites judiciaires.	虽然安理会被视为“旧制度”最忠诚的守护者，但是在对他的起诉方面理事会的进展甚微。
Ahmad Jihani, représentante de la Libye à la Cour Pénale Internationale, me disait récemment que, « nous, Libyens, ne pouvons pas commencer le procès de Saif.	国际刑事法院利（IVCC）比亚代表艾哈迈德最近告诉我说 ： “ 我们利比亚人不能开始对赛义夫的审判。 利比亚没有可以起诉他的中央权力 。 ”
Il n'y a pas de pouvoir central pour le poursuivre. » Le procureur de la CPI faisait écho à ce sentiment dans une brève juridique du 5 juin, en notant que « le gouvernement de la Libye peut être incapable de faire avancer l'affaire. » En l'absence de progrès vers un jugement de Kadhafi pour crimes de guerre, la CNT le détient sous le chef d’accusation inoffensif de ne pas posséder une licence de chameau.	6月5日的法律简报中，国际刑事法院检察官也呼应了他的这一观点，他指出 ： “ 也许，在这一案件上利比亚政府不会取得多大进展 。 ” 若在对卡扎菲的战争罪行所作的审判不能取得进展，NTC的指控将不会对他产生任何威胁，这也说明NTC无力处理刑事案件。
	政府官员对部长们的优柔寡断十分感慨。
Les bureaucrates déplorent les tergiversations ministérielles. « Les gens ordinaires viennent avec des idées de démobiliser les combattants et de les intégrer dans la société », fait remarquer un fonctionnaire du ministère du travail, en se référant au problème le plus urgent auquel est confronté la CNT. « Mais, sans personne pour prendre une décision, tous ces plans s’empilent sur nos bureaux en vain. »	“每天人们都想着要战士们复员，令其融入社会 。 ” 劳动部的一位官员指出这是NTC所面临的最迫切的问题 ， “ 但是，若没有人作出决议的话，所有一切的计划就只能被搁浅 。 ”
Une des raisons de cette inertie est à trouver dans la culture politique dominante en Libye.	政府无能的原因之一可以在利比亚的主流政治文化中找到根源。
Pendant des décennies, Kadhafi a personnellement revu chaque accord dont la valeur dépassait les 200 millions de dollars et choisissait souvent quelles entreprises étrangères obtenaient les contrats.	几十年来，对于每项价值超过2亿美元的协议，卡扎菲都���自审阅，而且他往往会选择那些外国公司会接收合同的协议。
Quand il a dévolu la planification ministérielle aux bureaucrates en 2008, il y eu beaucoup de mécontents. « Sans habitude de planification et possédant des capacités humaines limitées, les hauts fonctionnaires dans les ministères sont très nerveux», signalait un câble diplomatique américain publié par Wikileaks.	2008年，他将部长级规划移交给政府官员后，很多人都十分不开心。 维基解密所发布美国外交电报报道 ： “ 由于不习惯做规划，而且个人能力又十分有限，因而各部委的高级官员都十分焦虑 。 ”
Les nouveaux dirigeants de la Libye ne font pas que de traîner les pieds.	利比亚的新领导人所面临的困境比拖拉懒散还要糟糕。
Ils se rabattent sur les mêmes réponses faciles et préfabriquées que Kadhafi a utilisé pendant quatre décennies pour diaboliser ses adversaires nationaux et internationaux.	40年来，卡扎菲一直都是草率、临时地丑化各种国内和国际对手。 而现在，新的领导人又是在重蹈覆辙。
Par exemple, lorsque les Libyens de l'est ont récemment annoncé la formation d'un conseil régional provisoire en tant que première étape vers la proclamation de l'état fédéraliste, Abdel-Jalil a vu « le début d'un complot contre la Libye » dans le climat de crise entre les provinces du pays. « Certains pays arabes, malheureusement, ont soutenu et encouragé cet événement », a-t-il déclaré.	例如，利比亚东部的民众最近宣布成立了一个临时区域市政局，作为成立一个联邦国家的第一步。 阿卜杜勒-加里尔声称在全国各省间滋生的危机中“衍生了一个反对利比亚的阴谋 。 ”
	他说 ： “ 不幸的是，有些利比亚国家支持并鼓励这种情况的发生 。 ”
Mais Abdel-Jalil n’a nommé aucun des pouvoirs étrangers en particulier et n’a offert aucune preuve pour étayer ses allégations, qui rappelaient un peu les diatribes fréquentes que Kadhafi lançait contre « les complots de l'impérialisme sioniste. »	但是，阿卜杜勒-加里尔没有指明具体的外国势力，也未提供任何证据来支持其指控。 这听起来特别像是卡扎菲频繁地高声痛斥“帝国主义-犹太复国主义者阴谋 。 ”
Après une révolution de huit mois qui a dévasté le pays, les Libyens ont le droit d’exiger des réformes réelles.	历时8个月之久的革命摧毁了整个国家。 革命之后，利比亚人要求进行真正的变革。
Mais, sans une nouvelle direction qui est prête à les mettre en œuvre, il faudra encore beaucoup de temps avant que la Libye ne tourne une nouvelle page.	然而，如果没有一个愿意实行改革的领导集团，利比亚若想翻开新的一页尚需经历一段很长的时间。
Et que va-t-il se passer pour les travailleurs étrangers qui ont réalisé leur ampquot;rêve européenampquot; et risquent de se trouver confrontés à une explosion de xénophobie dans les pays d'une Europe supposée ouverte.	还有，对于那些追求“欧洲梦”的外来工人，现在他们面临着理应是开放的欧洲国家的仇外心态可能的爆发，他们会有怎样的遭遇？
	
